iter	Passed	Remaining
0	21	15169
1	43	15196
2	63	14740
3	83	14604
4	104	14559
5	124	14442
6	176	17471
7	204	17671
8	229	17637
9	251	17352
10	273	17108
11	295	16952
12	316	16713
13	336	16496
14	357	16308
15	376	16108
16	396	15943
17	415	15759
18	434	15580
19	453	15427
20	471	15234
21	489	15083
22	510	15025
23	529	14912
24	549	14826
25	569	14765
26	588	14662
27	607	14572
28	625	14477
29	643	14380
30	663	14319
31	686	14323
32	705	14253
33	724	14191
34	743	14121
35	761	14053
36	779	13969
37	798	13914
38	817	13861
39	836	13809
40	855	13748
41	876	13727
42	896	13702
43	915	13655
44	934	13604
45	952	13542
46	976	13573
47	995	13517
48	1014	13480
49	1033	13430
50	1052	13394
51	1071	13347
52	1089	13295
53	1107	13249
54	1129	13241
55	1148	13208
56	1167	13172
57	1186	13132
58	1204	13091
59	1225	13068
60	1247	13067
61	1266	13028
62	1285	13002
63	1306	12983
64	1323	12931
65	1342	12898
66	1362	12869
67	1384	12864
68	1401	12818
69	1417	12761
70	1434	12710
71	1453	12681
72	1472	12644
73	1491	12620
74	1512	12601
75	1536	12619
76	1558	12611
77	1580	12606
78	1600	12579
79	1618	12543
80	1638	12523
81	1661	12518
82	1681	12501
83	1700	12469
84	1719	12443
85	1738	12413
86	1757	12386
87	1776	12353
88	1797	12341
89	1816	12311
90	1835	12282
91	1852	12243
92	1872	12221
93	1890	12190
94	1910	12164
95	1930	12144
96	1951	12133
97	1968	12094
98	1985	12055
99	2005	12035
100	2024	12009
101	2043	11982
102	2063	11958
103	2083	11940
104	2102	11912
105	2121	11885
106	2140	11863
107	2160	11842
108	2178	11811
109	2196	11780
110	2216	11760
111	2234	11731
112	2253	11703
113	2275	11697
114	2299	11697
115	2319	11679
116	2340	11660
117	2359	11637
118	2381	11626
119	2401	11606
120	2423	11596
121	2442	11571
122	2462	11549
123	2486	11552
124	2507	11534
125	2525	11504
126	2544	11481
127	2564	11458
128	2583	11435
129	2607	11432
130	2632	11433
131	2652	11414
132	2677	11412
133	2694	11379
134	2712	11350
135	2731	11329
136	2749	11297
137	2770	11281
138	2788	11253
139	2806	11227
140	2825	11201
141	2844	11177
142	2862	11151
143	2882	11128
144	2904	11115
145	2923	11094
146	2942	11070
147	2964	11057
148	2982	11029
149	3001	11005
150	3020	10983
151	3042	10970
152	3061	10946
153	3083	10932
154	3103	10912
155	3122	10888
156	3141	10865
157	3163	10852
158	3182	10829
159	3200	10802
160	3219	10777
161	3240	10761
162	3260	10741
163	3281	10724
164	3302	10706
165	3320	10683
166	3341	10663
167	3362	10646
168	3381	10625
169	3402	10607
170	3423	10590
171	3443	10570
172	3461	10543
173	3479	10518
174	3498	10495
175	3516	10470
176	3534	10445
177	3553	10421
178	3571	10394
179	3589	10369
180	3608	10347
181	3626	10322
182	3646	10302
183	3680	10321
184	3701	10305
185	3721	10283
186	3740	10260
187	3758	10236
188	3777	10213
189	3796	10190
190	3814	10166
191	3833	10143
192	3853	10123
193	3873	10102
194	3892	10080
195	3912	10059
196	3929	10034
197	3949	10014
198	3967	9989
199	3986	9966
200	4005	9944
201	4023	9919
202	4040	9893
203	4058	9868
204	4077	9844
205	4096	9822
206	4113	9797
207	4134	9778
208	4153	9757
209	4173	9737
210	4192	9716
211	4212	9695
212	4230	9672
213	4249	9650
214	4267	9626
215	4286	9605
216	4305	9582
217	4323	9559
218	4341	9534
219	4358	9510
220	4376	9484
221	4395	9463
222	4415	9443
223	4434	9422
224	4452	9400
225	4471	9378
226	4489	9353
227	4506	9330
228	4525	9308
229	4545	9288
230	4563	9265
231	4581	9242
232	4601	9223
233	4620	9200
234	4638	9179
235	4656	9155
236	4677	9137
237	4699	9122
238	4723	9110
239	4742	9089
240	4759	9063
241	4778	9043
242	4796	9021
243	4816	9000
244	4834	8978
245	4853	8957
246	4871	8933
247	4891	8914
248	4908	8890
249	4926	8867
250	4945	8846
251	4963	8823
252	4982	8803
253	5001	8782
254	5019	8760
255	5037	8737
256	5055	8714
257	5074	8693
258	5104	8692
259	5136	8691
260	5156	8673
261	5182	8663
262	5201	8642
263	5218	8619
264	5238	8599
265	5256	8576
266	5273	8552
267	5291	8529
268	5310	8508
269	5329	8487
270	5346	8464
271	5366	8444
272	5384	8422
273	5403	8400
274	5420	8377
275	5439	8357
276	5458	8335
277	5478	8315
278	5495	8292
279	5513	8270
280	5532	8249
281	5550	8227
282	5568	8205
283	5586	8182
284	5604	8160
285	5620	8136
286	5642	8120
287	5663	8101
288	5682	8081
289	5699	8058
290	5717	8035
291	5735	8014
292	5753	7991
293	5772	7971
294	5793	7954
295	5812	7932
296	5832	7913
297	5850	7892
298	5869	7871
299	5886	7848
300	5904	7827
301	5922	7805
302	5941	7784
303	5960	7764
304	5979	7743
305	5997	7722
306	6019	7705
307	6035	7682
308	6056	7663
309	6078	7647
310	6098	7627
311	6116	7606
312	6135	7585
313	6153	7564
314	6173	7545
315	6192	7524
316	6211	7505
317	6229	7482
318	6247	7462
319	6266	7441
320	6283	7419
321	6305	7401
322	6323	7380
323	6343	7361
324	6361	7339
325	6378	7317
326	6397	7297
327	6415	7276
328	6433	7255
329	6453	7235
330	6471	7214
331	6489	7192
332	6505	7170
333	6523	7148
334	6541	7126
335	6558	7104
336	6576	7083
337	6593	7061
338	6610	7039
339	6628	7018
340	6645	6996
341	6662	6974
342	6682	6955
343	6700	6934
344	6718	6912
345	6735	6891
346	6752	6869
347	6771	6848
348	6788	6827
349	6806	6806
350	6825	6786
351	6841	6764
352	6860	6743
353	6877	6722
354	6895	6701
355	6913	6680
356	6932	6660
357	6949	6638
358	6966	6617
359	6986	6598
360	7004	6577
361	7023	6557
362	7041	6537
363	7058	6515
364	7076	6494
365	7094	6474
366	7113	6454
367	7130	6433
368	7147	6411
369	7165	6390
370	7185	6371
371	7204	6352
372	7223	6332
373	7240	6311
374	7259	6291
375	7279	6272
376	7297	6252
377	7318	6234
378	7338	6215
379	7356	6194
380	7374	6174
381	7392	6153
382	7411	6134
383	7428	6113
384	7447	6093
385	7465	6073
386	7483	6052
387	7502	6032
388	7521	6013
389	7538	5992
390	7558	5973
391	7578	5954
392	7595	5933
393	7612	5912
394	7629	5891
395	7647	5870
396	7665	5850
397	7684	5831
398	7702	5810
399	7723	5792
400	7741	5772
401	7759	5752
402	7776	5731
403	7795	5711
404	7813	5691
405	7832	5671
406	7852	5652
407	7869	5631
408	7889	5613
409	7907	5593
410	7928	5574
411	7946	5555
412	7965	5535
413	7983	5515
414	8004	5496
415	8023	5477
416	8042	5458
417	8063	5439
418	8080	5419
419	8098	5398
420	8115	5378
421	8132	5357
422	8164	5346
423	8182	5326
424	8200	5305
425	8217	5285
426	8233	5264
427	8252	5244
428	8270	5224
429	8290	5205
430	8307	5185
431	8326	5165
